,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
117,,2000,1e-06,0.001,0.001,0.9,False,SGD,"[16, 32]",0.688
118,,2000,1e-06,0.01,0.0,0.5,False,SGD,"[30, 50]",0.688
119,,2000,1e-06,0.01,0.001,0.0,False,SGD,"[16, 32]",0.688
120,,2000,1e-06,0.01,0.001,0.5,False,SGD,"[30, 50]",0.688
121,,2000,1e-06,0.01,0.001,0.0,True,SGD,"[16, 32]",0.688
122,,2000,1e-06,0.01,0.0001,0.5,False,SGD,"[30, 50]",0.688
123,,2000,1e-06,0.01,0.0001,0.5,True,SGD,"[30, 50]",0.68
124,,2000,1e-06,0.01,0.001,0.5,True,SGD,"[30, 50]",0.68
125,,2000,1e-06,0.01,0.01,0.0,True,SGD,"[16, 32]",0.68
126,,2000,1e-06,0.01,0.0,0.5,True,SGD,"[30, 50]",0.68
127,,2000,1e-06,0.001,0.01,0.9,False,SGD,"[16, 32]",0.68
128,,2000,1e-06,0.01,0.01,0.0,False,SGD,"[16, 32]",0.68
129,,2000,1e-06,0.001,0.01,0.9,True,SGD,"[16, 32]",0.68
130,,2000,1e-06,0.01,0.01,0.5,False,SGD,"[30, 50]",0.6799999999999999
131,,2000,1e-06,0.001,0.01,0.9,True,SGD,"[30, 50]",0.6799999999999999
132,,2000,1e-06,0.01,0.0001,0.5,True,SGD,"[5, 10]",0.656
133,,2000,1e-06,0.01,0.001,0.5,True,SGD,"[5, 10]",0.656
134,,2000,1e-06,0.01,0.0,0.5,True,SGD,"[5, 10]",0.656
135,,2000,1e-06,0.01,0.0001,0.0,False,SGD,"[30, 50]",0.64
136,,2000,1e-06,0.01,0.0001,0.0,True,SGD,"[30, 50]",0.64
137,,2000,1e-06,0.01,0.0,0.0,True,SGD,"[30, 50]",0.64
138,,2000,1e-06,0.01,0.0,0.0,False,SGD,"[30, 50]",0.64
139,,2000,1e-06,0.001,0.0,0.5,True,SGD,"[16, 32]",0.6320000000000001
140,,2000,1e-06,0.001,0.001,0.5,True,SGD,"[16, 32]",0.6320000000000001
141,,2000,1e-06,0.001,0.0001,0.5,True,SGD,"[16, 32]",0.6320000000000001
142,,2000,1e-06,0.01,0.0001,0.5,False,SGD,"[5, 10]",0.632
143,,2000,1e-06,0.01,0.0,0.5,False,SGD,"[5, 10]",0.632
144,,2000,1e-06,0.01,0.001,0.0,True,SGD,"[30, 50]",0.632
145,,2000,1e-06,0.001,0.001,0.9,False,SGD,"[30, 50]",0.632
146,,2000,1e-06,0.001,0.0,0.9,False,SGD,"[30, 50]",0.632
147,,2000,1e-06,0.001,0.01,0.9,False,SGD,"[30, 50]",0.632
148,,2000,1e-06,0.001,0.001,0.9,True,SGD,"[5, 10]",0.632
149,,2000,1e-06,0.001,0.0,0.9,True,SGD,"[5, 10]",0.632
150,,2000,1e-06,0.01,0.01,0.5,False,SGD,"[5, 10]",0.632
151,,2000,1e-06,0.001,0.0001,0.9,True,SGD,"[5, 10]",0.632
152,,2000,1e-06,0.001,0.0001,0.9,False,SGD,"[30, 50]",0.632
153,,2000,1e-06,0.01,0.001,0.0,False,SGD,"[30, 50]",0.632
154,,2000,1e-06,0.01,0.01,0.0,False,SGD,"[30, 50]",0.632
155,,2000,1e-06,0.01,0.01,0.0,True,SGD,"[30, 50]",0.632
156,,2000,1e-06,0.01,0.01,0.5,True,SGD,"[5, 10]",0.632
157,,2000,1e-06,0.01,0.001,0.5,False,SGD,"[5, 10]",0.632
158,,2000,1e-06,0.001,0.01,0.9,True,SGD,"[5, 10]",0.632
159,,2000,1e-06,0.001,0.01,0.5,True,SGD,"[16, 32]",0.608
160,,2000,1e-06,0.001,0.0,0.5,False,SGD,"[16, 32]",0.5920000000000001
161,,2000,1e-06,0.001,0.0001,0.5,False,SGD,"[16, 32]",0.5920000000000001
162,,2000,1e-06,0.001,0.01,0.5,False,SGD,"[30, 50]",0.5840000000000001
163,,2000,1e-06,0.001,0.001,0.5,False,SGD,"[16, 32]",0.5840000000000001
164,,2000,1e-06,0.0001,0.0,0.9,True,SGD,"[16, 32]",0.5760000000000001
165,,2000,1e-06,0.0001,0.0,0.9,True,SGD,"[30, 50]",0.5760000000000001
166,,2000,1e-06,0.001,0.0,0.5,False,SGD,"[30, 50]",0.5760000000000001
167,,2000,1e-06,0.001,0.001,0.5,False,SGD,"[30, 50]",0.5760000000000001
168,,2000,1e-06,0.001,0.0001,0.5,False,SGD,"[30, 50]",0.5760000000000001
169,,2000,1e-06,0.001,0.01,0.5,True,SGD,"[30, 50]",0.5760000000000001
170,,2000,1e-06,0.0001,0.0001,0.9,True,SGD,"[16, 32]",0.5760000000000001
171,,2000,1e-06,0.0001,0.0001,0.9,True,SGD,"[30, 50]",0.5760000000000001
172,,2000,1e-06,0.0001,0.01,0.9,True,SGD,"[30, 50]",0.5760000000000001
173,,2000,1e-06,0.0001,0.001,0.9,True,SGD,"[30, 50]",0.5680000000000001
174,,2000,1e-06,0.001,0.001,0.5,True,SGD,"[30, 50]",0.5680000000000001
175,,2000,1e-06,0.001,0.0001,0.5,True,SGD,"[30, 50]",0.56
176,,2000,1e-06,0.001,0.0,0.5,True,SGD,"[30, 50]",0.56
177,,2000,1e-06,0.0001,0.001,0.9,True,SGD,"[16, 32]",0.552
178,,2000,1e-06,0.01,0.0,0.0,True,SGD,"[5, 10]",0.52
179,,2000,1e-06,0.01,0.0001,0.0,False,SGD,"[5, 10]",0.52
180,,2000,1e-06,0.01,0.0001,0.0,True,SGD,"[5, 10]",0.52
181,,2000,1e-06,0.01,0.0,0.0,False,SGD,"[5, 10]",0.52
182,,2000,1e-06,0.001,0.0,0.9,False,SGD,"[5, 10]",0.52
183,,2000,1e-06,0.0001,0.01,0.9,False,SGD,"[30, 50]",0.52
184,,2000,1e-06,0.001,0.0001,0.9,False,SGD,"[5, 10]",0.52
185,,2000,1e-06,0.001,0.01,0.0,False,SGD,"[30, 50]",0.52
186,,2000,1e-06,0.001,0.001,0.9,False,SGD,"[5, 10]",0.52
187,,2000,1e-06,0.001,0.01,0.0,True,SGD,"[30, 50]",0.52
188,,2000,1e-06,0.0001,0.01,0.0,False,SGD,"[5, 10]",0.512
189,,2000,1e-06,0.0001,0.001,0.9,True,SGD,"[5, 10]",0.512
190,,2000,1e-06,0.0001,0.001,0.9,False,SGD,"[5, 10]",0.512
191,,2000,1e-06,0.0001,0.001,0.9,False,SGD,"[30, 50]",0.512
192,,2000,1e-06,0.0001,0.01,0.0,True,SGD,"[5, 10]",0.512
193,,2000,1e-06,0.01,0.001,0.0,True,SGD,"[5, 10]",0.512
194,,2000,1e-06,0.0001,0.01,0.5,True,SGD,"[5, 10]",0.512
195,,2000,1e-06,0.0001,0.001,0.5,True,SGD,"[5, 10]",0.512
196,,2000,1e-06,0.0001,0.01,0.5,False,SGD,"[5, 10]",0.512
197,,2000,1e-06,0.0001,0.01,0.9,True,SGD,"[5, 10]",0.512
198,,2000,1e-06,0.0001,0.01,0.9,False,SGD,"[5, 10]",0.512
199,,2000,1e-06,0.001,0.0,0.0,True,SGD,"[5, 10]",0.512
200,,2000,1e-06,0.0001,0.001,0.5,False,SGD,"[5, 10]",0.512
201,,2000,1e-06,0.0001,0.0001,0.9,False,SGD,"[30, 50]",0.512
202,,2000,1e-06,0.0001,0.001,0.0,False,SGD,"[5, 10]",0.512
203,,2000,1e-06,0.0001,0.001,0.0,True,SGD,"[5, 10]",0.512
204,,2000,1e-06,0.001,0.0,0.0,False,SGD,"[5, 10]",0.512
205,,2000,1e-06,0.0001,0.0001,0.9,False,SGD,"[5, 10]",0.512
206,,2000,1e-06,0.0001,0.0001,0.9,True,SGD,"[5, 10]",0.512
207,,2000,1e-06,0.0001,0.0001,0.5,False,SGD,"[5, 10]",0.512
208,,2000,1e-06,0.0001,0.0001,0.5,True,SGD,"[5, 10]",0.512
209,,2000,1e-06,0.0001,0.0001,0.0,False,SGD,"[5, 10]",0.512
210,,2000,1e-06,0.0001,0.0001,0.0,True,SGD,"[5, 10]",0.512
211,,2000,1e-06,0.0001,0.0,0.9,False,SGD,"[30, 50]",0.512
212,,2000,1e-06,0.0001,0.0,0.9,False,SGD,"[5, 10]",0.512
213,,2000,1e-06,0.0001,0.0,0.9,True,SGD,"[5, 10]",0.512
214,,2000,1e-06,0.0001,0.0,0.5,False,SGD,"[5, 10]",0.512
215,,2000,1e-06,0.0001,0.0,0.5,True,SGD,"[5, 10]",0.512
216,,2000,1e-06,0.0001,0.0,0.0,False,SGD,"[5, 10]",0.512
217,,2000,1e-06,0.001,0.0,0.0,True,SGD,"[30, 50]",0.512
218,,2000,1e-06,0.0001,0.0,0.0,True,SGD,"[5, 10]",0.512
219,,2000,1e-06,0.001,0.0001,0.5,False,SGD,"[5, 10]",0.512
220,,2000,1e-06,0.001,0.0001,0.0,False,SGD,"[30, 50]",0.512
221,,2000,1e-06,0.001,0.001,0.5,True,SGD,"[5, 10]",0.512
222,,2000,1e-06,0.01,0.01,0.0,True,SGD,"[5, 10]",0.512
223,,2000,1e-06,0.001,0.001,0.0,False,SGD,"[30, 50]",0.512
224,,2000,1e-06,0.001,0.01,0.0,True,SGD,"[5, 10]",0.512
225,,2000,1e-06,0.001,0.0,0.0,False,SGD,"[30, 50]",0.512
226,,2000,1e-06,0.01,0.01,0.0,False,SGD,"[5, 10]",0.512
227,,2000,1e-06,0.001,0.01,0.0,False,SGD,"[5, 10]",0.512
228,,2000,1e-06,0.001,0.001,0.0,False,SGD,"[5, 10]",0.512
229,,2000,1e-06,0.001,0.001,0.0,True,SGD,"[30, 50]",0.512
230,,2000,1e-06,0.001,0.01,0.5,True,SGD,"[5, 10]",0.512
231,,2000,1e-06,0.001,0.001,0.0,True,SGD,"[5, 10]",0.512
232,,2000,1e-06,0.001,0.01,0.5,False,SGD,"[5, 10]",0.512
233,,2000,1e-06,0.001,0.0001,0.5,True,SGD,"[5, 10]",0.512
234,,2000,1e-06,0.001,0.001,0.5,False,SGD,"[5, 10]",0.512
235,,2000,1e-06,0.001,0.01,0.9,False,SGD,"[5, 10]",0.512
236,,2000,1e-06,0.001,0.0,0.5,True,SGD,"[5, 10]",0.512
237,,2000,1e-06,0.001,0.0001,0.0,False,SGD,"[5, 10]",0.512
238,,2000,1e-06,0.01,0.001,0.0,False,SGD,"[5, 10]",0.512
239,,2000,1e-06,0.001,0.0,0.5,False,SGD,"[5, 10]",0.512
240,,2000,1e-06,0.001,0.0001,0.0,True,SGD,"[30, 50]",0.512
241,,2000,1e-06,0.001,0.0001,0.0,True,SGD,"[5, 10]",0.512
242,,2000,1e-06,0.001,0.01,0.5,False,SGD,"[16, 32]",0.496
243,,2000,1e-06,0.0001,0.01,0.5,True,SGD,"[30, 50]",0.496
244,,2000,1e-06,0.0001,0.0,0.5,True,SGD,"[30, 50]",0.496
245,,2000,1e-06,0.0001,0.01,0.5,False,SGD,"[30, 50]",0.496
246,,2000,1e-06,0.0001,0.0001,0.5,True,SGD,"[30, 50]",0.496
247,,2000,1e-06,0.0001,0.0,0.5,False,SGD,"[16, 32]",0.488
248,,2000,1e-06,0.0001,0.0001,0.5,True,SGD,"[16, 32]",0.488
249,,2000,1e-06,0.0001,0.0001,0.5,False,SGD,"[16, 32]",0.488
250,,2000,1e-06,0.0001,0.0,0.0,False,SGD,"[16, 32]",0.488
251,,2000,1e-06,0.0001,0.0,0.5,True,SGD,"[16, 32]",0.488
252,,2000,1e-06,0.001,0.01,0.0,True,SGD,"[16, 32]",0.488
253,,2000,1e-06,0.0001,0.0,0.0,True,SGD,"[16, 32]",0.488
254,,2000,1e-06,0.0001,0.0001,0.0,False,SGD,"[16, 32]",0.488
255,,2000,1e-06,0.0001,0.0,0.5,False,SGD,"[30, 50]",0.488
256,,2000,1e-06,0.0001,0.0001,0.0,True,SGD,"[16, 32]",0.488
257,,2000,1e-06,0.001,0.01,0.0,False,SGD,"[16, 32]",0.488
258,,2000,1e-06,0.0001,0.0,0.9,False,SGD,"[16, 32]",0.488
259,,2000,1e-06,0.0001,0.0001,0.5,False,SGD,"[30, 50]",0.488
260,,2000,1e-06,0.001,0.0,0.0,False,SGD,"[16, 32]",0.488
261,,2000,1e-06,0.001,0.001,0.0,False,SGD,"[16, 32]",0.488
262,,2000,1e-06,0.0001,0.0001,0.9,False,SGD,"[16, 32]",0.488
263,,2000,1e-06,0.001,0.001,0.0,True,SGD,"[16, 32]",0.488
264,,2000,1e-06,0.001,0.0,0.0,True,SGD,"[16, 32]",0.488
265,,2000,1e-06,0.0001,0.01,0.9,False,SGD,"[16, 32]",0.488
266,,2000,1e-06,0.001,0.0001,0.0,True,SGD,"[16, 32]",0.488
267,,2000,1e-06,0.0001,0.01,0.5,False,SGD,"[16, 32]",0.488
268,,2000,1e-06,0.001,0.0001,0.0,False,SGD,"[16, 32]",0.488
269,,2000,1e-06,0.0001,0.01,0.0,False,SGD,"[16, 32]",0.488
270,,2000,1e-06,0.0001,0.001,0.0,True,SGD,"[16, 32]",0.488
271,,2000,1e-06,0.0001,0.001,0.9,False,SGD,"[16, 32]",0.488
272,,2000,1e-06,0.0001,0.01,0.0,True,SGD,"[16, 32]",0.488
273,,2000,1e-06,0.0001,0.001,0.5,False,SGD,"[16, 32]",0.488
274,,2000,1e-06,0.0001,0.001,0.5,True,SGD,"[16, 32]",0.488
275,,2000,1e-06,0.0001,0.001,0.0,False,SGD,"[16, 32]",0.488
276,,2000,1e-06,0.0001,0.01,0.5,True,SGD,"[16, 32]",0.488
277,,2000,1e-06,0.0001,0.01,0.0,True,SGD,"[30, 50]",0.48
278,,2000,1e-06,0.0001,0.001,0.5,True,SGD,"[30, 50]",0.48
279,,2000,1e-06,0.0001,0.01,0.0,False,SGD,"[30, 50]",0.48
280,,2000,1e-06,0.0001,0.01,0.9,True,SGD,"[16, 32]",0.48
281,,2000,1e-06,0.0001,0.0,0.0,False,SGD,"[30, 50]",0.472
282,,2000,1e-06,0.0001,0.0,0.0,True,SGD,"[30, 50]",0.472
283,,2000,1e-06,0.0001,0.001,0.5,False,SGD,"[30, 50]",0.46399999999999997
284,,2000,1e-06,0.0001,0.0001,0.0,True,SGD,"[30, 50]",0.46399999999999997
285,,2000,1e-06,0.0001,0.0001,0.0,False,SGD,"[30, 50]",0.46399999999999997
286,,2000,1e-06,0.0001,0.001,0.0,False,SGD,"[30, 50]",0.44000000000000006
287,,2000,1e-06,0.0001,0.001,0.0,True,SGD,"[30, 50]",0.44000000000000006
