,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
92,Lrelu,,2000,1e-06,0.7,0.0001,0.5,False,SGD,[3],1.0
93,Lrelu,,2000,1e-06,0.7,0.0001,0.9,True,SGD,[3],1.0
94,Lrelu,,2000,1e-06,0.7,0.001,0.9,True,SGD,[3],1.0
95,Lrelu,,2000,1e-06,0.7,0.01,0.5,True,SGD,[3],1.0
96,Lrelu,,2000,1e-06,0.7,0.01,0.9,False,SGD,[3],1.0
97,Lrelu,,2000,1e-06,0.7,0.01,0.0,False,SGD,[3],1.0
98,Lrelu,,2000,1e-06,0.7,0.01,0.0,True,SGD,[3],1.0
99,Lrelu,,2000,1e-06,0.7,0.001,0.9,False,SGD,[3],1.0
100,Lrelu,,2000,1e-06,0.7,0.001,0.9,True,SGD,[5],1.0
101,Lrelu,,2000,1e-06,0.7,0.001,0.5,False,SGD,[3],1.0
102,Lrelu,,2000,1e-06,0.7,0.0001,0.9,True,SGD,[5],1.0
103,Lrelu,,2000,1e-06,0.7,0.001,0.5,True,SGD,[3],1.0
104,Lrelu,,2000,1e-06,0.7,0.001,0.0,False,SGD,[3],1.0
105,Lrelu,32.0,2000,1e-06,0.01,0.0,0.9,True,SGD,[3],1.0
106,Lrelu,,2000,1e-06,0.7,0.001,0.0,True,SGD,[3],1.0
107,Lrelu,,2000,1e-06,0.7,0.0001,0.9,False,SGD,[3],1.0
108,Lrelu,32.0,2000,1e-06,0.01,0.0,0.9,False,SGD,[3],1.0
109,Lrelu,,2000,1e-06,0.5,0.01,0.5,False,SGD,[3],1.0
110,Lrelu,,2000,1e-06,0.5,0.01,0.9,True,SGD,[3],1.0
111,Lrelu,32.0,2000,1e-06,0.5,0.0,0.5,False,SGD,[3],1.0
112,Lrelu,,2000,1e-06,0.1,0.01,0.9,False,SGD,[3],1.0
113,Lrelu,,2000,1e-06,0.1,0.001,0.9,False,SGD,[3],1.0
114,Lrelu,,2000,1e-06,0.5,0.0,0.5,True,SGD,[3],1.0
115,Lrelu,,2000,1e-06,0.5,0.0,0.5,False,SGD,[3],1.0
116,Lrelu,,2000,1e-06,0.5,0.0,0.9,True,SGD,[3],1.0
117,Lrelu,,2000,1e-06,0.5,0.0,0.9,True,SGD,[5],1.0
118,Lrelu,,2000,1e-06,0.5,0.0,0.9,False,SGD,[3],1.0
119,Lrelu,,2000,1e-06,0.1,0.001,0.9,True,SGD,[3],1.0
120,Lrelu,,2000,1e-06,0.5,0.0001,0.5,True,SGD,[3],1.0
121,Lrelu,32.0,2000,1e-06,0.01,0.01,0.9,True,SGD,[3],1.0
122,Lrelu,32.0,2000,1e-06,0.01,0.001,0.9,False,SGD,[3],1.0
123,Lrelu,,2000,1e-06,0.5,0.0001,0.5,False,SGD,[3],1.0
124,Lrelu,,2000,1e-06,0.5,0.0001,0.9,True,SGD,[3],1.0
125,Lrelu,32.0,2000,1e-06,0.01,0.001,0.9,True,SGD,[3],1.0
126,Lrelu,,2000,1e-06,0.5,0.0001,0.9,True,SGD,[5],1.0
127,Lrelu,,2000,1e-06,0.5,0.0001,0.9,False,SGD,[3],1.0
128,Lrelu,,2000,1e-06,0.1,0.0001,0.9,False,SGD,[3],1.0
129,Lrelu,,2000,1e-06,0.5,0.001,0.5,True,SGD,[3],1.0
130,Lrelu,,2000,1e-06,0.5,0.001,0.5,False,SGD,[3],1.0
131,Lrelu,,2000,1e-06,0.1,0.0001,0.9,True,SGD,[3],1.0
132,Lrelu,,2000,1e-06,0.5,0.001,0.9,True,SGD,[3],1.0
133,Lrelu,,2000,1e-06,0.5,0.001,0.9,True,SGD,[5],1.0
134,Lrelu,,2000,1e-06,0.5,0.001,0.9,False,SGD,[3],1.0
135,Lrelu,,2000,1e-06,0.1,0.0,0.9,False,SGD,[3],1.0
136,Lrelu,,2000,1e-06,0.1,0.01,0.9,True,SGD,[3],1.0
137,Lrelu,32.0,2000,1e-06,0.5,0.0,0.9,True,SGD,[5],0.9941176470588236
138,Lrelu,,2000,1e-06,0.7,0.001,0.9,False,SGD,[5],0.9941176470588236
139,Lrelu,,2000,1e-06,0.5,0.01,0.0,False,SGD,[3],0.9941176470588236
140,Lrelu,,2000,1e-06,0.5,0.0,0.0,True,SGD,[3],0.9941176470588236
141,Lrelu,,2000,1e-06,0.5,0.0,0.0,False,SGD,[3],0.9941176470588236
142,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.9,True,SGD,[5],0.9941176470588236
143,Lrelu,,2000,1e-06,0.5,0.01,0.0,True,SGD,[3],0.9941176470588236
144,Lrelu,,2000,1e-06,0.5,0.0001,0.0,False,SGD,[3],0.9941176470588236
145,Lrelu,32.0,2000,1e-06,0.5,0.001,0.9,True,SGD,[5],0.9941176470588236
146,Lrelu,,2000,1e-06,0.5,0.001,0.0,True,SGD,[3],0.9941176470588236
147,Lrelu,,2000,1e-06,0.5,0.001,0.0,False,SGD,[3],0.9941176470588236
148,Lrelu,32.0,2000,1e-06,0.5,0.01,0.9,True,SGD,[5],0.9941176470588236
149,Lrelu,32.0,2000,1e-06,0.7,0.0,0.9,True,SGD,[5],0.9941176470588236
150,Lrelu,,2000,1e-06,0.5,0.0001,0.0,True,SGD,[3],0.9941176470588236
151,Lrelu,32.0,2000,1e-06,0.7,0.01,0.9,True,SGD,[5],0.9941176470588236
152,Lrelu,32.0,2000,1e-06,0.5,0.0,0.9,False,SGD,[5],0.9882352941176471
153,Lrelu,32.0,2000,1e-06,0.7,0.0,0.9,True,SGD,[3],0.9882352941176471
154,Lrelu,,2000,1e-06,0.1,0.0001,0.5,True,SGD,[3],0.9882352941176471
155,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.9,True,SGD,[5],0.9882352941176471
156,Lrelu,32.0,2000,1e-06,0.7,0.001,0.9,True,SGD,[3],0.9882352941176471
157,Lrelu,,2000,1e-06,0.1,0.001,0.5,True,SGD,[3],0.9882352941176471
158,Lrelu,,2000,1e-06,0.7,0.0,0.9,False,SGD,[5],0.9882352941176471
159,Lrelu,,2000,1e-06,0.1,0.0,0.5,True,SGD,[3],0.9882352941176471
160,Lrelu,,2000,1e-06,0.7,0.0001,0.9,False,SGD,[5],0.9882352941176471
161,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.9,False,SGD,[5],0.9882352941176471
162,Lrelu,32.0,2000,1e-06,0.7,0.001,0.9,True,SGD,[5],0.9882352941176471
163,Lrelu,32.0,2000,1e-06,0.7,0.01,0.9,True,SGD,[3],0.9882352941176471
164,Lrelu,,2000,1e-06,0.1,0.01,0.5,True,SGD,[3],0.9764705882352942
165,Lrelu,,2000,1e-06,0.1,0.0001,0.5,False,SGD,[3],0.9588235294117646
166,Lrelu,,2000,1e-06,0.1,0.0,0.5,False,SGD,[3],0.9588235294117646
167,Lrelu,,2000,1e-06,0.1,0.001,0.5,False,SGD,[3],0.9529411764705882
168,Lrelu,,2000,1e-06,0.5,0.0001,0.9,False,SGD,[5],0.9470588235294117
169,Lrelu,,2000,1e-06,0.5,0.001,0.9,False,SGD,[5],0.9470588235294117
170,Lrelu,,2000,1e-06,0.5,0.01,0.9,False,SGD,[5],0.9470588235294117
171,Lrelu,,2000,1e-06,0.5,0.0,0.9,False,SGD,[5],0.9470588235294117
172,Lrelu,,2000,1e-06,0.1,0.01,0.5,False,SGD,[3],0.9470588235294117
173,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.9,True,SGD,[5],0.9411764705882353
174,Lrelu,32.0,2000,1e-06,0.7,0.01,0.5,True,SGD,[5],0.9411764705882353
175,Lrelu,32.0,2000,1e-06,0.1,0.0,0.9,True,SGD,[5],0.9411764705882353
176,Lrelu,32.0,2000,1e-06,0.1,0.01,0.9,True,SGD,[5],0.9352941176470588
177,Lrelu,32.0,2000,1e-06,0.1,0.001,0.9,True,SGD,[5],0.9294117647058823
178,Lrelu,32.0,2000,1e-06,0.7,0.0,0.5,True,SGD,[5],0.9294117647058823
