,activation,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation neg_mean_squared_error
87,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[3, 5]",-8.41636017635003
88,sigmoid,32.0,1000,0.0001,0.01,0.001,Adam,"[3, 5]",-8.41636017635003
89,sigmoid,32.0,1000,0.0001,0.5,0.001,Adam,"[3, 5]",-8.41636017635003
90,sigmoid,32.0,1000,0.0001,0.001,0.01,Adam,"[3, 5]",-8.417369120190175
91,sigmoid,32.0,1000,0.0001,0.1,0.01,Adam,"[3, 5]",-8.417369120190175
92,sigmoid,32.0,1000,0.0001,0.01,0.01,Adam,"[3, 5]",-8.417369120190175
93,sigmoid,32.0,1000,0.0001,0.3,0.01,Adam,"[3, 5]",-8.417369120190175
94,sigmoid,32.0,1000,0.0001,0.5,0.01,Adam,"[3, 5]",-8.417369120190175
95,sigmoid,32.0,1000,0.0001,0.3,0.05,Adam,"[3, 5]",-8.434550696399864
96,sigmoid,32.0,1000,0.0001,0.5,0.05,Adam,"[3, 5]",-8.434550696399864
97,sigmoid,32.0,1000,0.0001,0.01,0.05,Adam,"[3, 5]",-8.434550696399864
98,sigmoid,32.0,1000,0.0001,0.001,0.05,Adam,"[3, 5]",-8.434550696399864
99,sigmoid,32.0,1000,0.0001,0.1,0.05,Adam,"[3, 5]",-8.434550696399864
100,sigmoid,,1000,0.0001,0.5,0.0001,Adam,"[3, 5]",-10.97021208490688
101,sigmoid,,1000,0.0001,0.001,0.0001,Adam,"[3, 5]",-10.97021208490688
102,sigmoid,,1000,0.0001,0.3,0.0001,Adam,"[3, 5]",-10.97021208490688
103,sigmoid,,1000,0.0001,0.1,0.0001,Adam,"[3, 5]",-10.97021208490688
104,sigmoid,,1000,0.0001,0.01,0.0001,Adam,"[3, 5]",-10.97021208490688
105,sigmoid,,1000,0.0001,0.5,0.001,Adam,"[3, 5]",-10.970219941158302
106,sigmoid,,1000,0.0001,0.1,0.001,Adam,"[3, 5]",-10.970219941158302
107,sigmoid,,1000,0.0001,0.3,0.001,Adam,"[3, 5]",-10.970219941158302
