,batch_size,epochs,eps,eta,lmbda,momentum,optimizer,sizes,Validation neg_mean_squared_error
254,,1000,0.0001,0.01,0.001,0.2,SGM,"[16, 32]",-46.19905523445262
255,,1000,0.0001,0.01,0.001,0.5,SGM,"[16, 32]",-46.19905523445262
256,,1000,0.0001,0.01,0.0,0.2,SGM,"[16, 32]",-46.23668083279148
257,,1000,0.0001,0.01,0.0,0.0,SGM,"[16, 32]",-46.23668083279148
258,,1000,0.0001,0.01,0.0,0.9,SGM,"[16, 32]",-46.23668083279148
259,,1000,0.0001,0.01,0.0,0.5,SGM,"[16, 32]",-46.23668083279148
260,,500,0.0001,0.01,0.0,0.5,SGM,"[30, 50]",-46.40333967228877
261,,500,0.0001,0.01,0.0,0.2,SGM,"[30, 50]",-46.40333967228877
262,,500,0.0001,0.01,0.0,0.0,SGM,"[30, 50]",-46.40333967228877
263,,500,0.0001,0.01,0.0,0.9,SGM,"[30, 50]",-46.40333967228877
264,,500,0.0001,0.01,0.001,0.5,SGM,"[30, 50]",-46.406606930592616
265,,500,0.0001,0.01,0.001,0.0,SGM,"[30, 50]",-46.406606930592616
266,,500,0.0001,0.01,0.001,0.2,SGM,"[30, 50]",-46.406606930592616
267,,500,0.0001,0.01,0.001,0.9,SGM,"[30, 50]",-46.406606930592616
268,,500,0.0001,0.01,0.01,0.9,SGM,"[30, 50]",-46.42515552814239
269,,500,0.0001,0.01,0.01,0.5,SGM,"[30, 50]",-46.42515552814239
270,,500,0.0001,0.01,0.01,0.0,SGM,"[30, 50]",-46.42515552814239
271,,500,0.0001,0.01,0.01,0.2,SGM,"[30, 50]",-46.42515552814239
272,32.0,1000,0.0001,0.001,0.0,0.0,SGM,"[50, 50]",-47.21748659746994
273,32.0,1000,0.0001,0.001,0.0,0.2,SGM,"[50, 50]",-47.21748659746994
274,32.0,1000,0.0001,0.001,0.0,0.5,SGM,"[50, 50]",-47.21748659746994
275,32.0,1000,0.0001,0.001,0.0,0.9,SGM,"[50, 50]",-47.21748659746994
276,32.0,1000,0.0001,0.01,0.01,0.0,SGM,"[16, 32]",-48.447420717306706
277,32.0,1000,0.0001,0.01,0.01,0.2,SGM,"[16, 32]",-48.447420717306706
278,32.0,1000,0.0001,0.01,0.01,0.9,SGM,"[16, 32]",-48.447420717306706
279,32.0,1000,0.0001,0.01,0.01,0.5,SGM,"[16, 32]",-48.447420717306706
280,32.0,1000,0.0001,0.001,0.0,0.9,SGM,"[30, 50]",-57.230600186885646
