,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation neg_mean_squared_error
105,sigmoid,,1000,0.0001,0.3,0.05,0.5,False,SGD,"[5, 10]",-8.233618017013777
106,sigmoid,,1000,0.0001,0.5,0.05,0.9,False,SGD,"[5, 10]",-8.233618017013777
107,sigmoid,,1000,0.0001,0.001,0.05,0.9,True,SGD,"[5, 10]",-8.233618017013777
108,sigmoid,,1000,0.0001,0.001,0.05,0.9,False,SGD,"[5, 10]",-8.233618017013777
109,sigmoid,,1000,0.0001,0.001,0.05,0.5,True,SGD,"[5, 10]",-8.233618017013777
110,sigmoid,,1000,0.0001,0.1,0.05,0.5,False,SGD,"[5, 10]",-8.233618017013777
111,sigmoid,,1000,0.0001,0.5,0.05,0.9,True,SGD,"[5, 10]",-8.233618017013777
112,sigmoid,,1000,0.0001,0.01,0.05,0.5,True,SGD,"[5, 10]",-8.233618017013777
113,sigmoid,,1000,0.0001,0.3,0.05,0.9,True,SGD,"[5, 10]",-8.233618017013777
114,sigmoid,,1000,0.0001,0.5,0.05,0.5,False,SGD,"[5, 10]",-8.233618017013777
115,sigmoid,,1000,0.0001,0.3,0.05,0.9,False,SGD,"[5, 10]",-8.233618017013777
116,sigmoid,,1000,0.0001,0.01,0.05,0.5,False,SGD,"[5, 10]",-8.233618017013777
117,sigmoid,,1000,0.0001,0.5,0.05,0.5,True,SGD,"[5, 10]",-8.233618017013777
118,sigmoid,,1000,0.0001,0.1,0.05,0.9,False,SGD,"[5, 10]",-8.233618017013777
119,sigmoid,,1000,0.0001,0.01,0.05,0.9,True,SGD,"[5, 10]",-8.233618017013777
120,sigmoid,,1000,0.0001,0.3,0.01,0.9,True,SGD,"[5, 10]",-8.233675035094816
121,sigmoid,,1000,0.0001,0.1,0.01,0.9,False,SGD,"[5, 10]",-8.233675035094816
122,sigmoid,,1000,0.0001,0.3,0.01,0.5,False,SGD,"[5, 10]",-8.233675035094816
123,sigmoid,,1000,0.0001,0.1,0.01,0.9,True,SGD,"[5, 10]",-8.233675035094816
124,sigmoid,,1000,0.0001,0.1,0.01,0.5,False,SGD,"[5, 10]",-8.233675035094816
125,sigmoid,,1000,0.0001,0.3,0.01,0.5,True,SGD,"[5, 10]",-8.233675035094816
126,sigmoid,,1000,0.0001,0.01,0.01,0.9,True,SGD,"[5, 10]",-8.233675035094816
127,sigmoid,,1000,0.0001,0.3,0.01,0.9,False,SGD,"[5, 10]",-8.233675035094816
128,sigmoid,,1000,0.0001,0.5,0.01,0.9,False,SGD,"[5, 10]",-8.233675035094816
129,sigmoid,,1000,0.0001,0.001,0.01,0.5,False,SGD,"[5, 10]",-8.233675035094816
130,sigmoid,,1000,0.0001,0.001,0.01,0.5,True,SGD,"[5, 10]",-8.233675035094816
131,sigmoid,,1000,0.0001,0.1,0.01,0.5,True,SGD,"[5, 10]",-8.233675035094816
132,sigmoid,,1000,0.0001,0.5,0.01,0.5,True,SGD,"[5, 10]",-8.233675035094816
133,sigmoid,,1000,0.0001,0.001,0.01,0.9,False,SGD,"[5, 10]",-8.233675035094816
134,sigmoid,,1000,0.0001,0.5,0.01,0.9,True,SGD,"[5, 10]",-8.233675035094816
135,sigmoid,,1000,0.0001,0.5,0.01,0.5,False,SGD,"[5, 10]",-8.233675035094816
136,sigmoid,,1000,0.0001,0.01,0.01,0.5,True,SGD,"[5, 10]",-8.233675035094816
137,sigmoid,,1000,0.0001,0.01,0.01,0.5,False,SGD,"[5, 10]",-8.233675035094816
138,sigmoid,,1000,0.0001,0.01,0.01,0.9,False,SGD,"[5, 10]",-8.233675035094816
139,sigmoid,,1000,0.0001,0.001,0.01,0.9,True,SGD,"[5, 10]",-8.233675035094816
140,sigmoid,,1000,0.0001,0.01,0.001,0.5,True,SGD,"[5, 10]",-8.233687760787092
141,sigmoid,,1000,0.0001,0.01,0.001,0.5,False,SGD,"[5, 10]",-8.233687760787092
142,sigmoid,,1000,0.0001,0.01,0.001,0.9,True,SGD,"[5, 10]",-8.233687760787092
143,sigmoid,,1000,0.0001,0.01,0.001,0.9,False,SGD,"[5, 10]",-8.233687760787092
144,sigmoid,,1000,0.0001,0.3,0.001,0.5,True,SGD,"[5, 10]",-8.233687760787092
145,sigmoid,,1000,0.0001,0.5,0.001,0.9,False,SGD,"[5, 10]",-8.233687760787092
146,sigmoid,,1000,0.0001,0.5,0.001,0.9,True,SGD,"[5, 10]",-8.233687760787092
147,sigmoid,,1000,0.0001,0.5,0.001,0.5,False,SGD,"[5, 10]",-8.233687760787092
148,sigmoid,,1000,0.0001,0.3,0.001,0.9,True,SGD,"[5, 10]",-8.233687760787092
149,sigmoid,,1000,0.0001,0.5,0.001,0.5,True,SGD,"[5, 10]",-8.233687760787092
150,sigmoid,,1000,0.0001,0.3,0.001,0.5,False,SGD,"[5, 10]",-8.233687760787092
151,sigmoid,,1000,0.0001,0.1,0.001,0.5,False,SGD,"[5, 10]",-8.233687760787092
152,sigmoid,,1000,0.0001,0.001,0.001,0.9,False,SGD,"[5, 10]",-8.233687760787092
153,sigmoid,,1000,0.0001,0.3,0.001,0.9,False,SGD,"[5, 10]",-8.233687760787092
154,sigmoid,,1000,0.0001,0.001,0.001,0.9,True,SGD,"[5, 10]",-8.233687760787092
155,sigmoid,,1000,0.0001,0.1,0.001,0.9,False,SGD,"[5, 10]",-8.233687760787092
156,sigmoid,,1000,0.0001,0.1,0.001,0.5,True,SGD,"[5, 10]",-8.233687760787092
157,sigmoid,,1000,0.0001,0.001,0.001,0.5,False,SGD,"[5, 10]",-8.233687760787092
158,sigmoid,,1000,0.0001,0.001,0.001,0.5,True,SGD,"[5, 10]",-8.233687760787092
159,sigmoid,,1000,0.0001,0.1,0.001,0.9,True,SGD,"[5, 10]",-8.233687760787092
160,sigmoid,,1000,0.0001,0.01,0.0001,0.9,True,SGD,"[5, 10]",-8.233689031916581
161,sigmoid,,1000,0.0001,0.3,0.0001,0.9,True,SGD,"[5, 10]",-8.233689031916581
162,sigmoid,,1000,0.0001,0.01,0.0001,0.9,False,SGD,"[5, 10]",-8.233689031916581
163,sigmoid,,1000,0.0001,0.3,0.0001,0.5,False,SGD,"[5, 10]",-8.233689031916581
164,sigmoid,,1000,0.0001,0.5,0.0001,0.9,False,SGD,"[5, 10]",-8.233689031916581
165,sigmoid,,1000,0.0001,0.001,0.0001,0.9,False,SGD,"[5, 10]",-8.233689031916581
166,sigmoid,,1000,0.0001,0.001,0.0001,0.9,True,SGD,"[5, 10]",-8.233689031916581
167,sigmoid,,1000,0.0001,0.001,0.0001,0.5,False,SGD,"[5, 10]",-8.233689031916581
168,sigmoid,,1000,0.0001,0.3,0.0001,0.5,True,SGD,"[5, 10]",-8.233689031916581
169,sigmoid,,1000,0.0001,0.001,0.0001,0.5,True,SGD,"[5, 10]",-8.233689031916581
170,sigmoid,,1000,0.0001,0.01,0.0001,0.5,False,SGD,"[5, 10]",-8.233689031916581
171,sigmoid,,1000,0.0001,0.1,0.0001,0.9,True,SGD,"[5, 10]",-8.233689031916581
172,sigmoid,,1000,0.0001,0.5,0.0001,0.5,True,SGD,"[5, 10]",-8.233689031916581
173,sigmoid,,1000,0.0001,0.5,0.0001,0.5,False,SGD,"[5, 10]",-8.233689031916581
174,sigmoid,,1000,0.0001,0.1,0.0001,0.9,False,SGD,"[5, 10]",-8.233689031916581
175,sigmoid,,1000,0.0001,0.1,0.0001,0.5,False,SGD,"[5, 10]",-8.233689031916581
176,sigmoid,,1000,0.0001,0.5,0.0001,0.9,True,SGD,"[5, 10]",-8.233689031916581
177,sigmoid,,1000,0.0001,0.1,0.0001,0.5,True,SGD,"[5, 10]",-8.233689031916581
178,sigmoid,,1000,0.0001,0.3,0.0001,0.9,False,SGD,"[5, 10]",-8.233689031916581
179,sigmoid,,1000,0.0001,0.01,0.0001,0.5,True,SGD,"[5, 10]",-8.233689031916581
180,sigmoid,,1000,0.0001,0.1,0.05,0.5,False,SGD,"[10, 5]",-8.282059040057513
181,sigmoid,,1000,0.0001,0.01,0.05,0.5,False,SGD,"[10, 5]",-8.282059040057513
182,sigmoid,,1000,0.0001,0.1,0.05,0.9,False,SGD,"[10, 5]",-8.282059040057513
183,sigmoid,,1000,0.0001,0.001,0.05,0.9,True,SGD,"[10, 5]",-8.282059040057513
184,sigmoid,,1000,0.0001,0.1,0.05,0.5,True,SGD,"[10, 5]",-8.282059040057513
185,sigmoid,,1000,0.0001,0.01,0.05,0.5,True,SGD,"[10, 5]",-8.282059040057513
186,sigmoid,,1000,0.0001,0.01,0.05,0.9,True,SGD,"[10, 5]",-8.282059040057513
187,sigmoid,,1000,0.0001,0.1,0.05,0.9,True,SGD,"[10, 5]",-8.282059040057513
188,sigmoid,,1000,0.0001,0.001,0.05,0.5,False,SGD,"[10, 5]",-8.282059040057513
189,sigmoid,,1000,0.0001,0.01,0.05,0.9,False,SGD,"[10, 5]",-8.282059040057513
190,sigmoid,,1000,0.0001,0.001,0.05,0.5,True,SGD,"[10, 5]",-8.282059040057513
