,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,momentum,nesterovs_momentum,solver,tol,Validation accuracy
83,logistic,0.001,32.0,"[3, 5]",0.001,3000,0.9,False,sgd,1e-06,0.8800000000000001
84,logistic,0.001,32.0,"[3, 5]",0.001,3000,0.5,True,sgd,1e-06,0.8800000000000001
85,logistic,0.001,32.0,"[3, 5]",0.001,3000,0.5,False,sgd,1e-06,0.8800000000000001
86,logistic,0.001,32.0,"[3, 5]",0.001,3000,0.0,True,sgd,1e-06,0.8800000000000001
87,logistic,0.001,32.0,"[3, 5]",0.001,3000,0.0,False,sgd,1e-06,0.8800000000000001
88,logistic,0.001,32.0,"[3, 5]",0.1,3000,0.5,False,sgd,1e-06,0.8800000000000001
89,logistic,0.001,32.0,"[3, 5]",0.1,3000,0.9,False,sgd,1e-06,0.8800000000000001
90,logistic,0.001,64.0,"[3, 5]",0.001,3000,0.0,True,sgd,1e-06,0.8320000000000001
91,logistic,0.001,64.0,"[3, 5]",0.1,3000,0.9,True,sgd,1e-06,0.8320000000000001
92,logistic,0.001,64.0,"[3, 5]",0.001,3000,0.5,False,sgd,1e-06,0.8320000000000001
93,logistic,0.001,64.0,"[3, 5]",0.001,3000,0.5,True,sgd,1e-06,0.8320000000000001
94,logistic,0.001,64.0,"[3, 5]",0.001,3000,0.9,False,sgd,1e-06,0.8320000000000001
95,logistic,0.001,64.0,"[3, 5]",0.001,3000,0.9,True,sgd,1e-06,0.8320000000000001
96,logistic,0.001,64.0,"[3, 5]",0.005,3000,0.0,False,sgd,1e-06,0.8320000000000001
97,logistic,0.001,64.0,"[3, 5]",0.005,3000,0.0,True,sgd,1e-06,0.8320000000000001
98,logistic,0.001,64.0,"[3, 5]",0.005,3000,0.5,False,sgd,1e-06,0.8320000000000001
99,logistic,0.001,64.0,"[3, 5]",0.005,3000,0.5,True,sgd,1e-06,0.8320000000000001
100,logistic,0.001,64.0,"[3, 5]",0.005,3000,0.9,False,sgd,1e-06,0.8320000000000001
101,logistic,0.001,64.0,"[3, 5]",0.005,3000,0.9,True,sgd,1e-06,0.8320000000000001
102,logistic,0.001,64.0,"[3, 5]",0.01,3000,0.0,False,sgd,1e-06,0.8320000000000001
103,logistic,0.001,64.0,"[3, 5]",0.01,3000,0.0,True,sgd,1e-06,0.8320000000000001
104,logistic,0.001,64.0,"[3, 5]",0.01,3000,0.5,False,sgd,1e-06,0.8320000000000001
105,logistic,0.001,64.0,"[3, 5]",0.01,3000,0.5,True,sgd,1e-06,0.8320000000000001
106,logistic,0.001,64.0,"[3, 5]",0.01,3000,0.9,False,sgd,1e-06,0.8320000000000001
